ord_no, purch_amt, ord_date, customer_id,salesman_id
70001.0, 150.50, 2012-10-05, 3002 ,5002.0
NaN ,270.65 ,2012-09-10 ,3001 ,5003.0
70002.0, 65.26 ,NaN ,3001, 5001.0
70004.0, 110.50 ,2012-08-17, 3003 ,NaN
NaN ,948.50, 2012-09-10 ,3002, 5002.0
70005.0 ,2400.60, 2012-07-27, 3001 ,5001.0
NaN, 5760.00, 2012-09-10 ,3001, 5001.0
70010.0 ,1983.43 ,2012-10-10, 3004, NaN
70003.0, 2480.40, 2012-10-10 ,3003, 5003.0
70012.0, 250.45, 2012-06-27, 3002 ,5002.0
NaN ,75.29, 2012-08-17 ,3001 ,5003.0
70013.0 ,3045.60 ,2012-04-25, 3001 ,NaN